Modelo,FPR,TPR
Regresión Logística,0.28876338667661694,0.46418364524753386
Regresión Logística,0.29183042206173126,0.4675025352632064
Regresión Logística,0.2951712064834931,0.47082142527887894
Regresión Logística,0.2976244860666971,0.47409421959988934
Regresión Logística,0.3005938784833257,0.4773670139208998
Regresión Logística,0.3038893286697192,0.4807319996312344
Regresión Logística,0.30669656401368395,0.48395869825758275
Regresión Logística,0.3095892369550738,0.4873697796625795
Regresión Logística,0.31248365352090085,0.49059647828892783
Regresión Logística,0.31569366610986926,0.4938231769152761
Regresión Logística,0.31965866808016485,0.4973264497095971
Regresión Logística,0.32256877726592714,0.5005992440306075
Regresión Logística,0.3250325185957546,0.50391813404628
Regresión Logística,0.32804550162331436,0.5071448326726283
Regresión Logística,0.3308353007229067,0.5104637226883009
Regresión Logística,0.3337855132707256,0.5137365170093113
Regresión Logística,0.33675490568735417,0.5170554070249839
Regresión Logística,0.34018810220429,0.5203742970406564
Regresión Logística,0.34287502746208487,0.5236470913616669
Regresión Logística,0.3465244334092391,0.5269659813773394
Regresión Logística,0.3495897251699162,0.5302387756983498
Regresión Logística,0.3525939900752897,0.5335576657140223
Regresión Logística,0.35488685621026717,0.5367382686457085
Regresión Logística,0.35850836416642545,0.5399649672720568
Regresión Logística,0.36179683985506994,0.5432377615930672
Regresión Logística,0.3648045920093179,0.5466949386927261
Regresión Logística,0.3678071132902542,0.5500599244030607
Regresión Logística,0.3706509647474011,0.5533788144187333
Regresión Logística,0.37396036392929255,0.5566516087397437
Regresión Logística,0.37751910140571004,0.559878307366092
Regresión Logística,0.3816671839419164,0.5631050059924403
Regresión Logística,0.3854595670929247,0.5663317046187886
Regresión Logística,0.38832259841888134,0.5695123075504748
Regresión Logística,0.39185866877761466,0.572739006176823
Regresión Logística,0.39560048681994286,0.5760578961924956
Regresión Logística,0.39828392482886327,0.5792384991241818
Regresión Logística,0.40226287579465686,0.5824651977505301
Regresión Logística,0.4063603932221831,0.5858301834608648
Regresión Logística,0.41016672536868937,0.5891490734765373
Regresión Logística,0.41376730983160076,0.5924679634922099
Regresión Logística,0.4166477774019298,0.5957868535078824
Regresión Logística,0.4198996369773922,0.599151839218217
Regresión Logística,0.4238349973322546,0.6023785378445653
Regresión Logística,0.4268933145951827,0.6056974278602378
Regresión Logística,0.430422410456167,0.6089241264865861
Regresión Logística,0.4339253519505927,0.6121047294182723
Regresión Logística,0.4379077901652607,0.6152853323499585
Regresión Logística,0.4415938122255971,0.6186042223656311
Regresión Logística,0.44488054428980434,0.6217848252973173
Regresión Logística,0.4480713770099631,0.6249654282290034
Regresión Logística,0.4521375091976189,0.6282382225500138
Regresión Logística,0.45494997541489546,0.6316953996496727
Regresión Logística,0.4585819451176772,0.634922098276021
Regresión Logística,0.4616978019870344,0.6381948925970314
Regresión Logística,0.4651379730017192,0.641513782612704
Regresión Logística,0.468307882228631,0.6447404812390523
Regresión Logística,0.47083962491151105,0.648105466949387
Regresión Logística,0.47490401347472966,0.6513782612703973
Regresión Logística,0.4785202905575762,0.6546971512860699
Regresión Logística,0.48217318375360496,0.6580160413017424
Regresión Logística,0.48629162467437814,0.6612888356227529
Regresión Logística,0.48961322922733025,0.6645616299437632
Regresión Logística,0.4938537238587106,0.6679266156540979
Regresión Logística,0.4979355486663017,0.6711533142804462
Regresión Logística,0.5022911225105402,0.6744722042961188
Regresión Logística,0.5059544774531924,0.6778832857011156
Regresión Logística,0.5092464403907113,0.6812482714114502
Regresión Logística,0.5128470248536228,0.6844749700377984
Regresión Logística,0.5168800281769709,0.6877477643588089
Regresión Logística,0.5208241066540196,0.6910205586798193
Regresión Logística,0.5247333126423234,0.6943394486954918
Regresión Logística,0.5286355441328782,0.6975661473218402
Regresión Logística,0.5320042265456358,0.7009311330321748
Regresión Logística,0.5358349694342636,0.7043883101318337
Regresión Logística,0.5408269661980967,0.7077532958421684
Regresión Logística,0.5447448903085866,0.7110260901631787
